MECHSPC, GEOS_EXPRESSION
O3, Ox - NOx
N2O5, N2O5
HNO3, HNO3
PNA, HNO4
H2O2, H2O2
NTR, R4N2
FORM, CH2O
ALD2, 1./2 * ALD2
CO, CO
MEPX, MP
PAN, PAN
PANX, PPN + PMN
OLE, 0.5 * 1./2. * PRPE
IOLE, 0.5 * 1./4. * PRPE
TOL, TOLU
XYL, XYLE
ISPD, MACR + MVK
SO2, SO2
ETHA, C2H6
ASO4K, 0.0776 * SALC
ASO4K, 0.02655 * DST4
ASO4K, 0.02655 * DST3
ASO4K, 0.02655 * DST2
ASO4K, SO4s
ASO4J, 0.99 * SO4
ASO4J, 0.0776 * SALA
ASO4J, 0.0225 * DST1
ASO4I, 0.01 * SO4
ANH4J, 0.99 * NH4
ANH4J, 0.00005 * DST1
ANH4I, 0.01 * NH4
ANO3J, 0.99 * NIT
ANO3J, 0.00020 * DST1
ANO3I, 0.01 * NIT
ACLK, 0.5538 * SALC
ACLK, 0.01190 * DST2
ACLK, 0.01190 * DST3
ACLK, 0.01190 * DST4
ACLJ, 0.5538 * SALA
ACLJ, 0.00945 * DST1
ANAJ, 0.3086 * SALA
ANAJ, 0.03935 * DST1
AMGJ, 0.0386 * SALA
AKJ, 0.0114 * SALA
AKJ, 0.03770 * DST1
ACAJ, 0.0118 * SALA
ACAJ, 0.07940 * DST1
AFEJ, 0.03355 * DST1
AALJ, 0.05695 * DST1
ASIJ, 0.19435 * DST1
ATIJ, 0.0028 * DST1
AMNJ, 0.00115 * DST1
AOTHRJ, 0.50219 * DST1
APOCJ, 0.999 * OCPI
APOCJ, 0.999 * OCPO
APOCJ, 0.01075 * DST1
APOCI, 0.001 * OCPI
APOCI, 0.001 * OCPO
AECJ, 0.999 * BCPI
AECJ, 0.999 * BCPO
AECI, 0.001 * BCPI
AECI, 0.001 * BCPO
NH3, NH3
AXYL1J, 0.03 * SOA5
AXYL2J, 0.01 * SOA5
AXYL3J, 0.11 * SOA5
ATOL1J, 0.04 * SOA5
ATOL2J, 0.04 * SOA5
ATOL3J, 0.29 * SOA5
ABNZ1J, 0.12 * SOA5
ABNZ2J, 0.04 * SOA5
ABNZ3J, 0.32 * SOA5
ATRP1J, 0.33 * SOA1
ATRP1J, 0.33 * SOA2
ATRP2J, 0.67 * SOA1
ATRP2J, 0.67 * SOA2
AISO1J, 0.75 * SOA4
AISO2J, 0.25 * SOA4
ASQTJ, SOA3
SV_XYL1, 0.19 * SOG5
SV_XYL2, 0.06 * SOG5
SV_TOL1, 0.23 * SOG5
SV_TOL2, 0.23 * SOG5
SV_BNZ1, 0.06 * SOG5
SV_BNZ2, 0.23 * SOG5
SV_TRP1, 0.33 * SOG1
SV_TRP1, 0.33 * SOG2
SV_TRP2, 0.67 * SOG1
SV_TRP2, 0.67 * SOG2
SV_ISO1, 0.75 * SOG4
SV_ISO2, 0.25 * SOG4
SV_SQT, SOG3
APNCOMI, 0.4 * 0.001 * OCPI
APNCOMI, 0.4 * 0.001 * OCPO
APNCOMJ, 0.4 * 0.999 * OCPI
APNCOMJ, 0.4 * 0.999 * OCPO
APNCOMJ, 0.0043 * DST1
ANO3K, NITs
ANO3K, 0.0016 * DST2
ANO3K, 0.0016 * DST3
ANO3K, 0.0016 * DST4
ASEACAT, 0.3685 * SALC
NH3, NH3
BENZENE, BENZ
ISOP, ISOP
PAR, 1.5 * C3H8
PAR, 4. * ALK4
PAR, 3. * ACET
PAR, 4. * MEK
PAR, 1. * BENZ
ALDX, RCHO
ETH, ETH
HO2, HO2
HONO, HONO
MGLY, MGLY
NO, NO
NO2, NO2
NO3, NO3
ASOIL, 0.95995 * DST2
ASOIL, 0.95995 * DST3
ASOIL, 0.95995 * DST4
AALKJ, AALKJ
ACORS, ACORS
AISO3J, AISO3J
AOLGAJ, AOLGAJ
AOLGBJ, AOLGBJ
NUMACC, NUMACC
NUMATKN, NUMATKN
NUMCOR, NUMCOR
SRFACC, SRFACC
SRFATKN, SRFATKN
SRFCOR, SRFCOR
SULF, SULF
SV_ALK, SV_ALK
