MECHSPC, GEOS_EXPRESSION
ACETONE, ACET
ACROLEIN,
ALK1, C2H6
ALK2, C3H8
ALK3, ALK4 / 2
ALK4, ALK4 / 4
ALK5, ALK4 / 4
APIN,
BENZENE, BENZ
BUTADIENE13,
CCHO, ALD2 / 3
CCOOH, ACTA
CCOOOH, MAP
CO, CO
COOH, MP
HCHO, CH2O
HCOOH, 
HNO3, HNO3
HNO4, HNO4
HO2H, H2O2
HOCCHO, GLYC
HONO, HNO2
ISOPRENE, ISOP
MACR, MACR
MAPAN, PMN
MEK, MEK / 3
MEOH, MOH
MGLY, MGLY
MVK, MVK
MXYL, XYLE / 3
N2O5, N2O5
NH3, NH3
NO, NO
NO2, NO2
NO3, NO3
O3, Ox - NOx
OXYL, XYLE / 3
PAN, PAN
PAN2, PPN
PRD2, MEK * 2 / 3
PROPENE, PRPE 
PXYL, XYLE / 3
RCHO, RCHO
RNO3, R4N2
ROOH, ETP
ROOH, IAP
ROOH, INPN
ROOH, ISNP
ROOH, MAOP
ROOH, MRP
ROOH, PP
ROOH, PRPN
ROOH, R4P
ROOH, RA3P
ROOH, RB3P
ROOH, RIP
ROOH, RP
ROOH, VRP
SO2, SO2
TOLUENE, TOLU
AALJ, 0.05695 * DST1
AALKJ, AALKJ
ABNZ1J, 0.12 * SOA5
ABNZ2J, 0.04 * SOA5
ABNZ3J, 0.32 * SOA5
ACAJ, 0.0118 * SALA
ACAJ, 0.07940 * DST1
ACLJ, 0.00945 * DST1
ACLJ, 0.5538 * SALA
ACLK, 0.01190 * DST2
ACLK, 0.01190 * DST3
ACLK, 0.01190 * DST4
ACLK, 0.5538 * SALC
ACORS, ACORS
AECI, 0.001 * BCPI
AECI, 0.001 * BCPO
AECJ, 0.999 * BCPI
AECJ, 0.999 * BCPO
AFEJ, 0.03355 * DST1
AISO1J, 0.75 * SOA4
AISO2J, 0.25 * SOA4
AISO3J, AISO3J
AKJ, 0.0114 * SALA
AKJ, 0.03770 * DST1
AMGJ, 0.0368 * SALA
AMNJ, 0.00115 * DST1
ANAJ, 0.3086 * SALA
ANAJ, 0.03935 * DST1
ANH4I, 0.01 * NH4
ANH4J, 0.00005 * DST1
ANH4J, 0.99 * NH4
ANO3I, 0.01 * NIT
ANO3J, 0.00020 * DST1
ANO3J, 0.99 * NIT
ANO3K, 0.0016 * DST2
ANO3K, 0.0016 * DST3
ANO3K, 0.0016 * DST4
ANO3K, NITs
AOLGAJ, AOLGAJ
AOLGBJ, AOLGBJ
AOTHRJ, 0.50219 * DST1
APNCOMI, 0.4 * 0.001 * OCPI
APNCOMI, 0.4 * 0.001 * OCPO
APNCOMJ, 0.4 * 0.999 * OCPI
APNCOMJ, 0.4 * 0.999 * OCPO
APNCOMJ, 0.0043 * DST1
APOCI, 0.001 * OCPI
APOCI, 0.001 * OCPO
APOCJ, 0.999 * OCPI
APOCJ, 0.999 * OCPO
APOCJ, 0.01075 * DST1
ASEACAT, 0.3685 * SALC
ASIJ, 0.19435 * DST1
ASO4I, 0.01 * SO4
ASO4J, 0.99 * SO4
ASO4J, 0.0225 * DST1
ASO4J, 0.0776 * SALA
ASO4K, 0.0776 * SALC
ASO4K, 0.02655 * DST2
ASO4K, 0.02655 * DST3
ASO4K, 0.02655 * DST4
ASO4K, SO4s
ASOIL, 0.95995 * DST2
ASOIL, 0.95995 * DST3
ASOIL, 0.95995 * DST4
ASQTJ, SOA3
ATIJ, 0.0028 * DST1
ATOL1J, 0.04 * SOA5
ATOL2J, 0.04 * SOA5
ATOL3J, 0.29 * SOA5
ATRP1J, 0.33 * SOA1
ATRP1J, 0.33 * SOA2
ATRP2J, 0.67 * SOA1
ATRP2J, 0.67 * SOA2
AXYL1J, 0.03 * SOA5
AXYL2J, 0.01 * SOA5
AXYL3J, 0.11 * SOA5
NH3, NH3
NUMACC, NUMACC
NUMATKN, NUMATKN
NUMCOR, NUMCOR
SRFACC, SRFACC
SRFATKN, SRFATKN
SRFCOR, SRFCOR
SULF, SULF
SV_ALK, SV_ALK
SV_BNZ1, 0.06 * SOG5
SV_BNZ2, 0.23 * SOG5
SV_ISO1, 0.75 * SOG4
SV_ISO2, 0.25 * SOG4
SV_SQT, SOG3
SV_TOL1, 0.23 * SOG5
SV_TOL2, 0.23 * SOG5
SV_TRP1, 0.33 * SOG1
SV_TRP1, 0.33 * SOG2
SV_TRP2, 0.67 * SOG1
SV_TRP2, 0.67 * SOG2
SV_XYL1, 0.19 * SOG5
SV_XYL2, 0.06 * SOG5
