MECHSPC, GEOS_EXPRESSION
AALJ, 0.05695 * DST1
AALKJ,
ABNZ1J, 0.12 * SOA5
ABNZ2J, 0.04 * SOA5
ABNZ3J, 0.32 * SOA5
ACAJ, 0.0118 * SALA
ACAJ, 0.0794 * DST1
ACETONE, ACET
ACETYLENE,
ACLI,
ACLJ, 0.00945 * DST1
ACLJ, 0.5538 * SALA
ACLK, 0.0119 * DST2
ACLK, 0.0119 * DST3
ACLK, 0.0119 * DST4
ACLK, 0.5538 * SALC
ACORS,
ACROLEIN,
ACROLEIN_PRIMARY,
AECI, 0.001 * BCPO
AECJ, 0.999 * BCPI
AFEJ, 0.03355 * DST1
AFG1,
AFG2,
AFG3,
AH2OI,
AH2OJ,
AH2OK,
AISO1J, 0.75 * SOA4
AISO2J, 0.25 * SOA4
AISO3J,
AKJ, 0.0386 * SALA
ALK1, C2H6
ALK2, C3H8
ALK3, ALK4 / 2
ALK4, ALK4 / 4
ALK5, ALK4 / 4
ALK5RXN,
AMGJ, 0.0386 * SALA
AMNJ, 0.00115 * DST1
ANAI,
ANAJ, 0.03935 * DST1
ANAJ, 0.3086 * SALA
ANH4I, 0.01 * NH4
ANH4J, 0.00005 * DST1
ANH4J, 0.99 * NH4
ANH4K,
ANO3I, 0.01 * NIT
ANO3J, 0.002 * DST1
ANO3J, 0.99 * NIT
ANO3K, 0.0016 * DST2
ANO3K, 0.0016 * DST3
ANO3K, 0.0016 * DST4
ANO3K, NITs
AOLGAJ,
AOLGBJ,
AORGCJ,
AOTHRI,
AOTHRJ, 0.50219 * DST1
APIN,
APNCOMI, 0.4 * 0.001 * OCPI
APNCOMI, 0.4 * 0.001 * OCPO
APNCOMJ, 0.0043 * DST1
APNCOMJ, 0.4 * 0.01075 * DST1
APNCOMJ, 0.4 * 0.999 * OCPI
APNCOMJ, 0.4 * 0.999 * OCPO
APOCI, 0.001 * OCPI
APOCI, 0.001 * OCPO
APOCJ, 0.01075 * DST1
APOCJ, 0.999 * OCPI
APOCJ, 0.999 * OCPO
ARO1,
ARO2,
ASEACATK, 0.3685 * SALC
ASIJ, 0.19435 * DST1
ASO4I, 0.01 * SO4
ASO4J, 0.0776 * DST1 
ASO4J, 0.99 * SO4
ASO4K, 0.02655 * DST2
ASO4K, 0.02655 * DST3
ASO4K, 0.02655 * DST4
ASO4K, 0.0776 * SALC
ASO4K, SO4s
ASOIL, 0.95995 * DST2
ASOIL, 0.95995 * DST3
ASOIL, 0.95995 * DST4
ASQTJ, SOA3
ATIJ, 0.0028 * DST1
ATOL1J, 0.04 * SOA5
ATOL2J, 0.04 * SOA5
ATOL3J, 0.29 * SOA5
ATRP1J, 0.33 * SOA1
ATRP1J, 0.33 * SOA2
ATRP2J, 0.67 * SOA1
ATRP2J, 0.67 * SOA2
AXYL1J, 0.03 * SOA5
AXYL2J, 0.01 * SOA5
AXYL3J, 0.11 * SOA5
BACL,
BALD,
BENZENE, BENZ
BENZRO2,
BNZHRXN,
BNZNRXN,
BUTADIENE13,
BZCO3,
BZO,
CCHO, ALD2 / 3
CCOOH, ACTA
CCOOOH, MAP
CL,
CL2,
CLACET,
CLCCHO,
CLCHO,
CLNO,
CLNO2,
CLO,
CLONO,
CLONO2,
CO, CO
CO2,
COOH, MP
CRES,
ETHENE,
ETOH,
GLY,
HCHO, CH2O
HCL,
HCOOH, HCOOH
HNO3, HNO3
HNO4, HNO4
HO2,
HO2H, H2O2
HOCCHO, GLYC
HOCL,
HONO, HNO2
IPRD,
ISOPRENE, ISOP
ISOPRXN,
MACO3,
MACR, MACR
MAPAN, PMN
MECO3,
MEK, MEK / 3
MEO2,
MEOH, MOH
MGLY, MGLY
MVK, MVK
MXYL, XYLE / 3
N2O5, N2O5
NH3, NH3
NO, NO
NO2, NO2
NO2EX,
NO3, NO3
NPHE,
O1D,
O3, Ox - NOx
O3P,
OH,
OLE1,
OLE2,
OXYL, XYLE / 3
PAN, PAN
PAN2, PPN
PBZN,
PRD2, MEK * 2 / 3
PROPENE, PRPE
PXYL, XYLE / 3
R6OOH,
RAOOH,
RCHO, RCHO
RCO3,
RCOOH,
RCOOOH,
RNO3, R4N2
RO2C,
RO2XC,
ROOH, ETP
ROOH, IAP
ROOH, INPN
ROOH, ISNP
ROOH, MAOP
ROOH, MRP
ROOH, PP
ROOH, PRPN
ROOH, R4P
ROOH, RA3P
ROOH, RB3P
ROOH, RIP
ROOH, RP
ROOH, VRP
SESQ,
SESQRXN,
SO2, SO2
SULF,
SULRXN,
SV_ALK,
SV_BNZ1, 0.06 * SOG5
SV_BNZ2, 0.23 * SOG5
SV_ISO1, 0.75 * SOG4
SV_ISO2, 0.25 * SOG4
SV_SQT, SOG3
SV_TOL1, 0.23 * SOG5
SV_TOL2, 0.23 * SOG5
SV_TRP1, 0.33 * SOG1
SV_TRP1, 0.33 * SOG2
SV_TRP2, 0.67 * SOG1
SV_TRP2, 0.67 * SOG2
SV_XYL1, 0.19 * SOG5
SV_XYL2, 0.06 * SOG5
TBUO,
TERP,
TOLHRXN,
TOLNRXN,
TOLRO2,
TOLUENE, TOLU
TRIMETH_BENZ124,
TRPRXN,
XYLHRXN,
XYLNRXN,
XYLRO2,

